id,中文名,英文名,介绍,客户端含介绍字段,稀有度,来源,本地化键,贴图资源,PNG
"avatar_ultra","ULTRA","Ultra","","False","ERarityEnum::Rare","EItemSource::3","42C2B1174FB8929DC0D425B26BF9BEAC","/Game/Assets/Textures/Portraits/T_Portrait_Special_Ultra","images/T_Portrait_Special_Ultra.png"
"avatar_57th_rifles","步兵第 57 团","57th Rifles","","False","ERarityEnum::Common","EItemSource::3","B2492B1B4691F9D713FD09A741AE23E2","/Game/Assets/Textures/Portraits/T_Portrait_Standard_57th-Rifles","images/T_Portrait_Standard_57th-Rifles.png"
"avatar_baker_street_irregulars","贝克街分队","Baker Street","","False","ERarityEnum::Common","EItemSource::2","8FDAA7D44C7E2F1F6D31BD99C9ECB8EF","/Game/Assets/Textures/Portraits/T_Portrait_Standard_Baker-Street","images/T_Portrait_Standard_Baker-Street.png"
"avatar_91st_astrakhan","阿斯特拉罕第 91 团","91st Astrakhan","","False","ERarityEnum::Common","EItemSource::2","36FA7E5145B3DA00C84AD69D599EFA27","/Game/Assets/Textures/Portraits/T_Portrait_Standard_91st-Astrakhan","images/T_Portrait_Standard_91st-Astrakhan.png"
"avatar_ats","女子辅助军","ATS","","False","ERarityEnum::Common","EItemSource::3","55865C384CFC89087724C1BF85A69D7E","/Game/Assets/Textures/Portraits/T_Portrait_Standard_ATS","images/T_Portrait_Standard_ATS.png"
"avatar_blitzkrieg","闪电战","Blitzkrieg","","False","ERarityEnum::Common","EItemSource::2","283FE97D432531F32808969F452AA1CE","/Game/Assets/Textures/Portraits/T_Portrait_Standard_Blitzkrieg","images/T_Portrait_Standard_Blitzkrieg.png"
"avatar_blitzmadel","女子辅助","Blitzmädel","","False","ERarityEnum::Common","EItemSource::3","4597FD7D40F298B3583439ACE81597CC","/Game/Assets/Textures/Portraits/T_Portrait_Standard_Blitzmädel","images/T_Portrait_Standard_Blitzmädel.png"
"avatar_deadly_duty","极限使命","Deadly Duty","","False","ERarityEnum::Common","EItemSource::2","3C4E85334C02C2B449C03C85127CFD82","/Game/Assets/Textures/Portraits/T_Portrait_Standard_Deadly-Duty","images/T_Portrait_Standard_Deadly-Duty.png"
"avatar_feldgrau","原野灰","Feldgrau","","False","ERarityEnum::Common","EItemSource::3","50E8C35F4FBAE8F676095F8FDF1C5FD6","/Game/Assets/Textures/Portraits/T_Portrait_Standard_Feldgrau","images/T_Portrait_Standard_Feldgrau.png"
"avatar_flyboys","空战英豪","Flyboys","","False","ERarityEnum::Common","EItemSource::2","02DFBC0046E821C39C444CADE7616411","/Game/Assets/Textures/Portraits/T_Portrait_Standard_Flyboys","images/T_Portrait_Standard_Flyboys.png"
"avatar_glamour_boys","魅力男孩","Glamour Boys","","False","ERarityEnum::Common","EItemSource::2","D4E729CB442980C2B09E4F91AD92C636","/Game/Assets/Textures/Portraits/T_Portrait_Standard_Glamour-Boys","images/T_Portrait_Standard_Glamour-Boys.png"
"avatar_imperial_strength","帝国之力","Imperial Strength","","False","ERarityEnum::Common","EItemSource::2","55CD4773409D197E39D1DF960C57D2DE","/Game/Assets/Textures/Portraits/T_Portrait_Standard_Imperial-Strength","images/T_Portrait_Standard_Imperial-Strength.png"
"avatar_kurmark","库尔马克","Kurmark","","False","ERarityEnum::Common","EItemSource::2","6F3A3457474EECD269359AA2597D6432","/Game/Assets/Textures/Portraits/T_Portrait_Standard_Kurmark","images/T_Portrait_Standard_Kurmark.png"
"avatar_nfs","国家消防局","NFS","","False","ERarityEnum::Common","EItemSource::3","351C0A264471FEBDCB1FF3B86A680A6E","/Game/Assets/Textures/Portraits/T_Portrait_Standard_NFS","images/T_Portrait_Standard_NFS.png"
"avatar_no_surrender","决不投降","No Surrender","","False","ERarityEnum::Common","EItemSource::3","B3D64AE54212EC85D76003BB7A09CDB0","/Game/Assets/Textures/Portraits/T_Portrait_Standard_No-Surrender","images/T_Portrait_Standard_No-Surrender.png"
"avatar_rosie","铆钉罗西","Rosie the Riveter","","False","ERarityEnum::Common","EItemSource::2","913EB86643998DB8C62A058811F6CF0F","/Game/Assets/Textures/Portraits/T_Portrait_Standard_Rosie-the-Riveter","images/T_Portrait_Standard_Rosie-the-Riveter.png"
"avatar_sturm","罗得突击旅","Sturm Brigade","","False","ERarityEnum::Common","EItemSource::2","357926BD49A24E0E44563F86B12D6B55","/Game/Assets/Textures/Portraits/T_Portrait_Standard_Sturm-Brigade","images/T_Portrait_Standard_Sturm-Brigade.png"
"avatar_unity","团结就是力量","Unity is Strength","","False","ERarityEnum::Common","EItemSource::3","19D33EEB48486CADA552078FA9496A0A","/Game/Assets/Textures/Portraits/T_Portrait_Standard_Unity-is-Strength","images/T_Portrait_Standard_Unity-is-Strength.png"
"avatar_war_machine","战争机器","War Machine","","False","ERarityEnum::Common","EItemSource::3","548CA9FD429EB7DBF9D33CAA535F3225","/Game/Assets/Textures/Portraits/T_Portrait_Standard_War-Machine","images/T_Portrait_Standard_War-Machine.png"
"avatar_warrior_sky","空中武士","Warrior of the Sky","","False","ERarityEnum::Common","EItemSource::3","FBDB9F9F409AC43A23B8CFAE1FBE31B2","/Game/Assets/Textures/Portraits/T_Portrait_Standard_Warrior-of-the-Sky","images/T_Portrait_Standard_Warrior-of-the-Sky.png"
"avatar_wingman","僚机","Wingman","","False","ERarityEnum::Common","EItemSource::3","941262BE4DAECABBE08666940F044D91","/Game/Assets/Textures/Portraits/T_Portrait_Standard_Wingman","images/T_Portrait_Standard_Wingman.png"
"avatar_shadow","","","","False","ERarityEnum::NotAvailable","EItemSource::1","","/Game/Assets/Textures/Portraits/T_Portrait_Standard_Shadow","images/T_Portrait_Standard_Shadow.png"
"avatar_sailor","水手","Sailor","","False","ERarityEnum::Rare","EItemSource::2","BC55CBA8491CA8AADAC7B4945E774073","/Game/Assets/Textures/Portraits/T_Portrait_Special_Sailor","images/T_Portrait_Special_Sailor.png"
"avatar_samurai","武士","Samurai","","False","ERarityEnum::Unique","EItemSource::2","562B81BA4D9987EE29C4838BFF8211D7","/Game/Assets/Textures/Portraits/Naval-Warfare/T_portrait_elite_samurai","images/Naval-Warfare/T_portrait_elite_samurai.png"
"avatar_seabee","海蜂队","Seabee","","False","ERarityEnum::Unique","EItemSource::2","E34E06124E83775B624FF0BECE9CFE1E","/Game/Assets/Textures/Portraits/Naval-Warfare/T_portrait_elite_seabees","images/Naval-Warfare/T_portrait_elite_seabees.png"
"avatar_joe","乔","Joe","","False","ERarityEnum::Rare","EItemSource::2","E6A1EBF44F28359E066B7DB51E022B9F","/Game/Assets/Textures/Portraits/Naval-Warfare/T_portrait_special_joe_","images/Naval-Warfare/T_portrait_special_joe_.png"
"avatar_spars","妇女预备队","SPARS","","False","ERarityEnum::Rare","EItemSource::2","6A03FEAA48DE1C2ADAAFF98914A05BC7","/Game/Assets/Textures/Portraits/Naval-Warfare/T_portrait_special_spars","images/Naval-Warfare/T_portrait_special_spars.png"
"avatar_airman","飞行员","Airman","","False","ERarityEnum::Common","EItemSource::2","67B3E0BD446C659E70436581A1A8DD25","/Game/Assets/Textures/Portraits/Naval-Warfare/T_portrait_standard_airman","images/Naval-Warfare/T_portrait_standard_airman.png"
"avatar_grey_wolf","苍狼","Grey Wolf","","False","ERarityEnum::Common","EItemSource::2","B872D34B428D8272CBE8D4BF1226E7ED","/Game/Assets/Textures/Portraits/Naval-Warfare/T_portrait_standard_grey-wolf","images/Naval-Warfare/T_portrait_standard_grey-wolf.png"
"avatar_happy_comrade","快乐同志","Happy Comrade","","False","ERarityEnum::Common","EItemSource::2","9E36185241A8591033908D9D2655B459","/Game/Assets/Textures/Portraits/Naval-Warfare/T_portrait_standard_happy-comrade","images/Naval-Warfare/T_portrait_standard_happy-comrade.png"
"avatar_hunter","猎人","Hunter","","False","ERarityEnum::Common","EItemSource::2","41782213493B068F62A2EC96BBEE922B","/Game/Assets/Textures/Portraits/Naval-Warfare/T_portrait_standard_hunter","images/Naval-Warfare/T_portrait_standard_hunter.png"
"avatar_iron_comrade","铁人同志","Iron Comrade","","False","ERarityEnum::Common","EItemSource::2","DD80E60E4872ABC5E4320986AD508998","/Game/Assets/Textures/Portraits/Naval-Warfare/T_portrait_standard_iron-comrade","images/Naval-Warfare/T_portrait_standard_iron-comrade.png"
"avatar_shellmaker","制弹工","Shellmaker","","False","ERarityEnum::Common","EItemSource::2","FD7FE43240CA6442E9066F90CA1F89E4","/Game/Assets/Textures/Portraits/Naval-Warfare/T_portrait_standard_shellmaker","images/Naval-Warfare/T_portrait_standard_shellmaker.png"
"avatar_paratrooper","伞兵","Paratrooper","","False","ERarityEnum::Rare","EItemSource::2","578FB120456D2518B62F9389D36358CD","/Game/Assets/Textures/Portraits/Naval-Warfare/T_Portrait_Special_Paratrooper","images/Naval-Warfare/T_Portrait_Special_Paratrooper.png"
"avatar_frontier_force","边境部队","Frontier Force","","False","ERarityEnum::Rare","EItemSource::2","1350E6E949C3175B2FEB51B45BA7FC4D","/Game/Assets/Textures/Portraits/Naval-Warfare/T_Portrait_Special_frontier-force","images/Naval-Warfare/T_Portrait_Special_frontier-force.png"
"avatar_tex","德州","Tex","","False","ERarityEnum::Unique","EItemSource::2","979BC37F44F670B0877BB7BC79634DC7","/Game/Assets/Textures/Portraits/Air-Supremacy/T_Portrait_Elite_Tex","images/Air-Supremacy/T_Portrait_Elite_Tex.png"
"avatar_pound","重击","Pound","","False","ERarityEnum::Rare","EItemSource::2","ED9967B940A2C2C41DF77EB1DF1C325D","/Game/Assets/Textures/Portraits/Air-Supremacy/T_Portrait_Special_Pound","images/Air-Supremacy/T_Portrait_Special_Pound.png"
"avatar_salamander","蝾螈","Salamander","","False","ERarityEnum::Rare","EItemSource::2","5CD6442C460E6FBD2FCBC197CF817903","/Game/Assets/Textures/Portraits/Air-Supremacy/T_Portrait_Special_Salamander","images/Air-Supremacy/T_Portrait_Special_Salamander.png"
"avatar_oblivion","湮没","Oblivion","","False","ERarityEnum::Common","EItemSource::2","4BA7125243E96B5BF2E7FB837A667893","/Game/Assets/Textures/Portraits/Air-Supremacy/T_Portrait_Standard_Flight-to-oblivion","images/Air-Supremacy/T_Portrait_Standard_Flight-to-oblivion.png"
"avatar_bomber","轰炸机","Bomber","","False","ERarityEnum::Common","EItemSource::2","D738993545F0162096ED63B395BCCA8F","/Game/Assets/Textures/Portraits/Air-Supremacy/T_Portrait_Standard_Glide-bombing","images/Air-Supremacy/T_Portrait_Standard_Glide-bombing.png"
"avatar_tech","科技","Tech","","False","ERarityEnum::Common","EItemSource::2","9351EB5348B01FE0189B9A92F4FDF96A","/Game/Assets/Textures/Portraits/Air-Supremacy/T_Portrait_Standard_Tech","images/Air-Supremacy/T_Portrait_Standard_Tech.png"
"avatar_sam","山姆","Sam","","False","ERarityEnum::Unique","EItemSource::2","19E192D74945F0383A328199000F9A5F","/Game/Assets/Textures/Portraits/Homefront/T_Portrait_Elite_Uncle-Sam","images/Homefront/T_Portrait_Elite_Uncle-Sam.png"
"avatar_845th_rifles","步兵第 845 团","845th Rifles","","False","ERarityEnum::Rare","EItemSource::2","3D2CAEFE4F1C7D12AA0778AC442DB4D0","/Game/Assets/Textures/Portraits/Homefront/T_Portrait_Special_845th-Rifles","images/Homefront/T_Portrait_Special_845th-Rifles.png"
"avatar_nurse","护士","Nurse","","False","ERarityEnum::Rare","EItemSource::2","C462D01C45C45B3069CA2BABFE15522B","/Game/Assets/Textures/Portraits/Homefront/T_Portrait_Special_Penicillin","images/Homefront/T_Portrait_Special_Penicillin.png"
"avatar_bletchley_park","布莱切利庄园","Bletchley Park","","False","ERarityEnum::Common","EItemSource::2","D488350148CEA7447DCE279828470084","/Game/Assets/Textures/Portraits/Homefront/T_Portrait_Standard_Bletchley","images/Homefront/T_Portrait_Standard_Bletchley.png"
"avatar_field_hospital","野战医院","Field Hospital","","False","ERarityEnum::Common","EItemSource::2","09E52162478D76EF2DC2B9A3E41C3E29","/Game/Assets/Textures/Portraits/Homefront/T_Portrait_Standard_Field-Hospital","images/Homefront/T_Portrait_Standard_Field-Hospital.png"
"avatar_land_girl","土地女孩","Land Girl","","False","ERarityEnum::Common","EItemSource::2","12EB533B49B4353FEF47F8A0CC03A8AF","/Game/Assets/Textures/Portraits/Homefront/T_Portrait_Standard_land-girls","images/Homefront/T_Portrait_Standard_land-girls.png"
"avatar_red_bull","红牛","Red Bull","","False","ERarityEnum::Common","EItemSource::2","D0A3A25B422AF22B420024884328BD18","/Game/Assets/Textures/Portraits/Homefront/T_Portrait_Standard_red-bull","images/Homefront/T_Portrait_Standard_red-bull.png"
"avatar_volunteer","义勇队","Volunteer","","False","ERarityEnum::Common","EItemSource::2","6FC4A5AD44A99872E1DE5F8D3E11A56E","/Game/Assets/Textures/Portraits/Homefront/T_Portrait_Standard_volunteer","images/Homefront/T_Portrait_Standard_volunteer.png"
"avatar_55th_rifles","步兵第 55 团","55th Rifles","","False","ERarityEnum::Rare","EItemSource::2","364A4972450ED7FAC4C8B19EC0843D68","/Game/Assets/Textures/Portraits/Early-War/T_Portrait_Special_55th-rifles","images/Early-War/T_Portrait_Special_55th-rifles.png"
"avatar_stars_and_stripes","星条旗","Stars and Stripes","","False","ERarityEnum::Rare","EItemSource::2","671E54D74B0AFFCA2DAED3A3693C2B41","/Game/Assets/Textures/Portraits/Early-War/T_Portrait_Special_Stars-and-Stripes","images/Early-War/T_Portrait_Special_Stars-and-Stripes.png"
"avatar_way_of_subjects","臣民之道","Way of Subjects","","False","ERarityEnum::Common","EItemSource::2","9CEA666C42203AAFDCC0B1810B368A06","/Game/Assets/Textures/Portraits/Early-War/T_Portrait_Standard_Way-of-subjects","images/Early-War/T_Portrait_Standard_Way-of-subjects.png"
"avatar_kiwi","新西兰人","Kiwi","","False","ERarityEnum::Unique","EItemSource::2","9C790FE3412E42A930C6E3A50FDF6DA5","/Game/Assets/Textures/Portraits/Oceania-Storm/T_Portrait_Elite_kiwi","images/Oceania-Storm/T_Portrait_Elite_kiwi.png"
"avatar_6th-infantry-brigade","第 6 步兵旅","6th Infantry Brigade","","False","ERarityEnum::Common","EItemSource::2","D703FF86496B5773586F41BC0C172CA2","/Game/Assets/Textures/Portraits/Oceania-Storm/T_Portrait_Standard_6th-infantry-brigade","images/Oceania-Storm/T_Portrait_Standard_6th-infantry-brigade.png"
"avatar_digger","挖掘者","Digger","","False","ERarityEnum::Common","EItemSource::2","0015EA784BB8F07246C8A588EA6E63F2","/Game/Assets/Textures/Portraits/Oceania-Storm/T_Portrait_Standard_digger","images/Oceania-Storm/T_Portrait_Standard_digger.png"
"avatar_nzans","新西兰陆军护理队","NZANS","","False","ERarityEnum::Rare","EItemSource::2","F19C162B41BA318B9FBED8948FA02285","/Game/Assets/Textures/Portraits/Oceania-Storm/t_Portrait_Standard_NZANS","images/Oceania-Storm/t_Portrait_Standard_NZANS.png"
"avatar_roger","罗杰","Roger","","False","ERarityEnum::Common","EItemSource::2","3FBBCB62483B5648DBF03792BA2FFB37","/Game/Assets/Textures/Portraits/Oceania-Storm/T_Portrait_Standard_Roger","images/Oceania-Storm/T_Portrait_Standard_Roger.png"
